#name xsec kfac nevents lumi fltEff negFrac
SinglePhoton 1. 1. 1. 1. 1. 0.
#VBFHToGX_M125_13TeV_amcatnlo_pythia8_RunIIFall17_PreMixing_MicroAOD 3.782 1. 100000 40000 1. 0.
#W1JetsToLNu_LHEWpT_100-150_TuneCP5_13TeV-amcnloFXFX-pythia8  1080   1. 61651108 40000 2.223e-01 2.276e-01
#W1JetsToLNu_LHEWpT_150-250_TuneCP5_13TeV-amcnloFXFX-pythia8  193.8  1. 126166905 40000 3.457e-01 2.053e-01
#W1JetsToLNu_LHEWpT_250-400_TuneCP5_13TeV-amcnloFXFX-pythia8  15.056 1. 20841145 40000 4.836e-01 1.765e-01
#W1JetsToLNu_LHEWpT_400-inf_TuneCP5_13TeV-amcnloFXFX-pythia8  1.3134 1. 4558033 40000 6.326e-01 1.488e-01
#W1JetsToLNu_LHEWpT_50-150_TuneCP5_13TeV-amcnloFXFX-pythia8   8989.9 1. 47811842 40000 2.837e-01 2.568e-01
#W2JetsToLNu_LHEWpT_100-150_TuneCP5_13TeV-amcnloFXFX-pythia8  779.90 1. 36719823 40000 3.287e-01 3.400e-01
#W2JetsToLNu_LHEWpT_250-400_TuneCP5_13TeV-amcnloFXFX-pythia8  31.814 1. 81630276 40000 5.402e-01 3.157e-01
#W2JetsToLNu_LHEWpT_400-inf_TuneCP5_13TeV-amcnloFXFX-pythia8  4.1548 1. 36719823 40000 6.820e-01 3.000e-01 
#W2JetsToLNu_LHEWpT_50-150_TuneCP5_13TeV-amcnloFXFX-pythia8   1687   1. 35696676 40000 4.281e-01 3.440e-01
#W3JetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8 991.6 1. 19700377 40000 1. 7.821e-04
#W4JetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8 545.2 1. 11333705 40000 1. 1.363e-03
#WGGJets_TuneCP5_13TeV_madgraphMLM_pythia8 1.693 1. 428364 40000 1. 6.046e-04
#WJetsToLNu_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8 57.85 1. 14313274 40000 1. 2.242e-03
#WToENu_M-1000_TuneCP5_13TeV-pythia8 0.01495 1. 963119 40000 1. 0.
#WToENu_M-100_TuneCP5_13TeV-pythia8 174 1. 1916817 40000 1. 0.
#WToENu_M-2000_TuneCP5_13TeV-pythia8 0.0004366 1. 984898 40000 1. 0.
#WToENu_M-200_TuneCP5_13TeV-pythia8 7.266 1. 977285 40000 1. 0.
#WToENu_M-3000_TuneCP5_13TeV-pythia8 0.00002785 1. 955404 40000 1. 0.
#WToENu_M-4000_TuneCP5_13TeV-pythia8 0.000002614 1. 989367 40000 1. 0.
#WToENu_M-5000_TuneCP5_13TeV-pythia8 3.797e-07 1. 985864 40000 1. 0.
#WToENu_M-500_TuneCP5_13TeV-pythia8 0.2503 1. 992476 40000 1. 0.
#Z1JetsToNuNu_M-50_LHEZpT_150-250_TuneCP5_13TeV-amcnloFXFX-pythia8 44.70  1. 15141380 40000 3.508e-01 2.108e-01
#Z1JetsToNuNu_M-50_LHEZpT_250-400_TuneCP5_13TeV-amcnloFXFX-pythia8 3.848  1. 7425564 40000 4.845e-01 1.843e-01
#Z1JetsToNuNu_M-50_LHEZpT_400-inf_TuneCP5_13TeV-amcnloFXFX-pythia8 0.3322 1. 783857 40000 6.299e-01 1.568e-01
#Z2JetsToNuNU_M-50_LHEZpT_400-inf_TuneCP5_13TeV-amcnloFXFX-pythia8 1.171  1. 7713506 40000 6.785e-01 3.039e-01
#Z2JetsToNuNu_M-50_LHEZpT_150-250_TuneCP5_13TeV-amcnloFXFX-pythia8 62.38  1. 43267220 40000 4.354e-01 3.331e-01
#ZGGJets_ZToHadOrNu_5f_LO_madgraph_pythia8 0.3571 1. 305934 40000 1. 1.147e-03
#ZJetsToNuNu_HT-100To200_13TeV-madgraph 304.5 1. 22737266 40000 1. 7.739e-04
#ZJetsToNuNu_HT-2500ToInf_13TeV-madgraph 0.005146 1. 6734 40000 1. 2.138e-02
#ZJetsToNuNu_HT-600To800_13TeV-madgraph 3.258 1. 5697594 40000 1. 2.887e-03
#ZJetsToNuNu_HT-800To1200_13TeV-madgraph 1.499 1. 2058077 40000 1. 4.037e-03
#GJet_Pt-15To6000_TuneCUETHS1-Flat_13TeV_herwigpp 87720 1. 9952252 40000 1. 0.
#GJet_Pt-20to40_DoubleEMEnriched_MGG-80toInf_TuneCP5_13TeV_Pythia8 109703 1. 17678702 40000 2.123e-03 0.
#GJet_Pt-20toInf_DoubleEMEnriched_MGG-40to80_TuneCP5_13TeV_Pythia8 125137 1. 42345735 40000 2.546e-02 0. 
#GJet_Pt-40toInf_DoubleEMEnriched_MGG-80toInf_TuneCP5_13TeV_Pythia8 15736  1. 72299185 40000 5.58e-2 0. 
#GJets_DR-0p4_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8 15590 1. 12028839 40000 1. 1.490e-05 
#GJets_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8 8624 1. 9959190 40000 1. 9.148e-05 
#GJets_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8 2196 1. 18536907 40000 1. 3.725e-04 
#GJets_HT-40To100_TuneCP5_13TeV-madgraphMLM-pythia8 18600 1. 4801969 40000 1. 1.841e-05 
#GJets_SM_5f_TuneCUETP8M1_EWKFOR17DATA_13TeV-madgraphMLM-pythia8 32.92 1. 1945820 40000 1. 1.246e-03
#DiPhotonJetsBox_MGG-80toInf_13TeV-Sherpa 84.4 1. 1055995 40000 1. 0. 
#QCD_Pt-15to20_EMEnriched_TuneCP5_13TeV_pythia8 849100000 1. 11215220 40000 1.560e-03 0. 
